Interface,Signal Name,Description,Direction,PinName,Function Number,Function select register,,,,,,,,
,(PAD_MIPIRX1N),,I/O,PAD_MIPIRX1N,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1N
0x0300_1184",,,,,,,,
,(PAD_MIPIRX1P),,I/O,PAD_MIPIRX1P,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX1P
0x0300_1188",,,,,,,,
,(PAD_MIPIRX2N),,I/O,PAD_MIPIRX2N,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2N
0x0300_117C",,,,,,,,
,(PAD_MIPIRX2P),,I/O,PAD_MIPIRX2P,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX2P
0x0300_1180",,,,,,,,
,(PAD_MIPIRX3N),,I/O,PAD_MIPIRX3N,3,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX3N
0x0300_1174",,,,,,,,
,(PAD_MIPIRX3P),,I/O,PAD_MIPIRX3P,3,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX3P
0x0300_1178",,,,,,,,
,(PAD_MIPIRX4N),,I/O,PAD_MIPIRX4N,3,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX4N
0x0300_116C",,,,,,,,
,(PAD_MIPIRX4P),,I/O,PAD_MIPIRX4P,3,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX4P
0x0300_1170",,,,,,,,
,(PAD_MIPIRX5N),,I/O,PAD_MIPIRX5N,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX5N
0x0300_1164",,,,,,,,
,(PAD_MIPIRX5P),,I/O,PAD_MIPIRX5P,0,"FMUX_GPIO_REG_IOCTRL_PAD_MIPIRX5P
0x0300_1168",,,,,,,,
Aux clock out,AUX0,,O,AUX0,0,"FMUX_GPIO_REG_IOCTRL_AUX0
0x0300_1078",,,,,,,,
,AUX0,,O,SD0_D1,2,"FMUX_GPIO_REG_IOCTRL_SD0_D1
0x0300_1028",,,,,,,,
,AUX0,,O,CLK32K,1,"FMUX_GPIO_REG_IOCTRL_CLK32K
0x0300_10B0",,,,,,,,
,AUX0,,O,UART0_RX,5,"FMUX_GPIO_REG_IOCTRL_UART0_RX
0x0300_1044",,,,,,,,
